provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id,,,
and Thymus spp. Flight period,,ignore,,,,
and Tiquilia nuttallii. Other annuals,,ignore,,,,
and Toona sinensis from China.<br/><br/>File,,ignore,,,,
and Toxicodendron diversilobum. Other associates,,ignore,,,,
and two birds of prey,,ignore,,,,
and Vegetation. New York,,ignore,,,,
and Verbena urticifolia. Nearby trees,,ignore,,,,
and Verbena urticifolia. Nearby trees,,ignore,,,,
and Viburnum edule. Other lichen in sample,,ignore,,,,
and Vicia villosa. Others,,ignore,,,,
and Viguiera laciniata. Note,,ignore,,,,
and well-drained soils. It is easily grown from seed.<br/><br/>  File,,ignore,,,,
and were described as such,,ignore,,,,
and winged. Calyx green and persistent in fruit. Fruit a capsule with two reflexed red fleshy valves. Label remarks,,ignore,,,,
and wiretails.<br/><br/>Instream habitat,,ignore,,,,
and with depths no greater than 100 cm. Syntopic species at Kallana are,,ignore,,,,
and with these liverworts,,ignore,,,,
and Xylococcus bicolor Note,,ignore,,,,
and Xylorhiza lorlifolia. Annuals,,ignore,,,,
and Xylorhiza torlifolia. Annuals,,ignore,,,,
and Xylorhiza tortifolia. Annual,,ignore,,,,
and Xylorhiza tortifolia. Annuals,,ignore,,,,
and Xylorhiza tortifolia. Annuals included,,ignore,,,,
and Yucca brevifloia. Annuals,,ignore,,,,
and Yucca brevifolia. Annuals,,ignore,,,,
and Yucca brevifolia. Other,,ignore,,,,
and Yucca hrevifolia. Annuals,,ignore,,,,
and Yucca schidigera. Annuals,,ignore,,,,
and Yucca schidigera. Associated annuals,,ignore,,,,
and/or geography.  Korarchaeota have been found in nature in only low abundance. Each of these six hot springs (clockwise from top left,,ignore,,,,
andSphaeralcea ambigua. Annuals,,ignore,,,,
Anida en,,ignore,,,,
Anidando en,,ignore,,,,
Annonaceae,,ignore,,,,
annotator note,,ignore,,,,
annual,,ignore,,,,
Annual,,ignore,,,,
annuals,,ignore,,,,
annuals,,ignore,,,,
Annuals,,ignore,,,,
Anoplolejeunea conferta Bull. Torrey Bot. Club 35,,ignore,,,,
antarctica. Host common name,,ignore,,,,
Antarctica. Zootaxa 3745(5),,ignore,,,,
Anterior view of well developed veliger. File,,ignore,,,,
aociado con,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
apical portion yellow. Nectary with 5 glands. Label remarks,,ignore,,,,
apically covered with long soft brown trichomes. Corolla uniformly red. Flowers resupinate. Label remarks,,ignore,,,,
apically pouched on lower surface. Flowers not resupinate. Immature fruit orange and globose (not cone-shaped). Label remarks,,ignore,,,,
apically pouched on lower surface. Label remarks,,ignore,,,,
apically pouched on lower surface. Our remarks,,ignore,,,,
apically pouched on upper surface. Flowers resupinate. Label remarks,,ignore,,,,
apically pouched on upper surface. Flowers resupinate. Phenology,,ignore,,,,
apically pouched on upper surface. Nectary a bilobed gland on lower surface. Flowers resupinate. Label remarks,,ignore,,,,
apically pouched on upper surface. Nectary a broadly bilobed gland on lower surface. Label remarks,,ignore,,,,
apically pouched on uppersurface. Flowers resupinate. Label remarks,,ignore,,,,
apically pouched. Label remarks,,ignore,,,,
apically thin and thread-like Label remarks,,ignore,,,,
apically ventricose (not pouched). Nectary a bilobed gland on lower surface. Flowers resupinate. Label remarks,,ignore,,,,
apically ventricose on dorsal surface. Flowers resupinate. Immature fruit cone-shaped and white. Mature fruit a bivalved display capsule with black seeds embedded in purple flesh Label remarks,,ignore,,,,
apically ventricose on lower surface. Label remarks,,ignore,,,,
apically ventricose on upper surface. Flowers resupinate. Phenology,,ignore,,,,
apically ventricose on upper surface. Nectary a truncate gland on lower surface. Flowers resupinate. Phenology,,ignore,,,,
apically ventricose on uppersurface. Flowers resupinate. Label remarks,,ignore,,,,
apically ventricose. Label remarks,,ignore,,,,
Apocynaceae,,ignore,,,,
Apocynum cannabinum. Uplands,,ignore,,,,
apotehcia,,ignore,,,,
apothecia,,ignore,,,,
Apothecia,,ignore,,,,
appearing dark black. Label remarks,,ignore,,,,
appearing laterally compressed in mid-section. Label remarks,,ignore,,,,
appearing laterally compressed. Flowers resupinate. Label remarks,,ignore,,,,
appearing laterally compressed. Label remarks,,ignore,,,,
AQssociated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
aquatic surrounded by chaparral and coastal sage scrub. Dominant plants,,ignore,,,,
Aquatic surrounded by chaparral and coastal sage scrub. Dominant plants,,ignore,,,,
Aquatic vegetation locally dense,,ignore,,,,
aquatics,,ignore,,,,
aquatics,,ignore,,,,
Aracnido de,,ignore,,,,
Araliaceae,,ignore,,,,
Araneae). The geoecological context of Tham Houey Ye is indicated also in its name,,ignore,,,,
arbosufrutescente,,ignore,,,,
Arbosufrutescente,,ignore,,,,
Arbusto,,ignore,,,,
Arbusto de 1 m. Flores axilares anaranjadas. Nombre Kichwa,,ignore,,,,
Arbusufrutescente,,ignore,,,,
Archbold Biological Station. These include sapsucking Coreidae,,ignore,,,,
Arctostaphyllos uva-ursi. Additional plants found in rocky areas in Transect 2,,ignore,,,,
Arctostaphylos alpinus and a high proportion of lichen cover including,,ignore,,,,
Arctostaphylos alpinus and a high proportion of lichen cover including,,ignore,,,,
are mature and can lay eggs. However they require more than 12 months of life and 1-2 aestivation periods in order to reach their full size. This species is an intermediate host for,,ignore,,,,
Area burned 2002. Assoc.,,ignore,,,,
Arecaceae,,ignore,,,,
areoles,,ignore,,,,
Areoles,,ignore,,,,
arid transition,,ignore,,,,
Arid transition,,ignore,,,,
Arid Transition,,ignore,,,,
Aristida adscensionis On ground near,,ignore,,,,
Arizona uplands vegetation on a gently sloping alluvial fan. Dominat perennials,,ignore,,,,
Armadillidium jerrentrupi has been found in three types of habitat,,ignore,,,,
Armadillidium sfenthourakisi specimens have been collected from two types of habitat,,ignore,,,,
Arnicor.  Common species,,ignore,,,,
Arnicor.  Common species,,ignore,,,,
around 85% of those surveyed carrying the species Aponomma fimbriatum.<br/><br/>File,,ignore,,,,
Artemisia californica-Eriogonum fasciculatum-Malosma laurina Association. Dominant species,,ignore,,,,
Artemisia filifolia/ Sporobolus airoides/ Andropogon gerardii,,ignore,,,,
Artemisia filifolia/Bouteloua gracilis,,ignore,,,,
Artemisia filifolia/Bouteloua gracilis,,ignore,,,,
Artemisia filifolia/Schizachyrium scoparium,,ignore,,,,
Artemisia filifolia/Schizachyrium scoparium,,ignore,,,,
Artemisia filifolia/Sporobolus airoides/Andorpogongerardii,,ignore,,,,
Artemisia filifolia/Sporobolus airoides/Andorpogongerardii,,ignore,,,,
Artemisia filifolia/Sporobolus airoides/Andropogon gerardii,,ignore,,,,
Artemisia filifolia/Sporobolus airoides/Andropogon gerardii,,ignore,,,,
Artemisia filifolia/Sporobolus airoides/Andropogongerardii,,ignore,,,,
Artemisia filifolia/Sporobolus airoides/Andropogongerardii,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandrus,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandrus,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandrus/Bouteloua hirsuta,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandrus/Bouteloua hirsuta,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandrus/Boutelouahirsuta,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandrus/Boutelouahirsuta,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandrus/Sporoboluscontractus,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandrus/Sporoboluscontractus,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandus,,ignore,,,,
Artemisia filifolia/Sporobolus cryptandus,,ignore,,,,
Artemisia filifolia/Sporobolus crytandrus,,ignore,,,,
Artemisia filifolia/Sporobolus crytandrus,,ignore,,,,
Artemisia tridentata,,ignore,,,,
Artemisia tridentata ssp. tridentata,,ignore,,,,
Artemisia tridentata ssp. wyomingensis,,ignore,,,,
Arundinaria tecta (slope,,ignore,,,,
as amphibian diversity in secondary forest at this site is high (Maynard et al. 2016). Syntopic glassfrog species include,,ignore,,,,
as Cercyonia quadrinotata Bryant 1936,,ignore,,,,
as Cercyonia quadrinotata Bryant 1936,,ignore,,,,
as described for P. balcanicus (Dufresnes 2019). Mostly nocturnal and semi-fossorial,,ignore,,,,
As prey File,,ignore,,,,
as Schistoceros bimaculatus). Its aedeagus was figured by Iablokoff-Khnzorian (1976,,ignore,,,,
as Schistoceros bimaculatus). Its aedeagus was figured by Iablokoff-Khnzorian (1976,,ignore,,,,
as Schistoceros bimaculatus). Table 1. Bostrichidae recorded from Maltese Archipelago and neigbouring islands with respective chorotype codes. Abbreviations,,ignore,,,,
as Schistoceros bimaculatus). Table 1. Bostrichidae recorded from Maltese Archipelago and neigbouring islands with respective chorotype codes. Abbreviations,,ignore,,,,
as was noted in studies of birds caught in Parque Nacional de La Macarena and near Turbo (Colombia),,ignore,,,,
as well as due to overhunting.Common Pochard (Aythya ferina) in Armenia. 2017. In online publication,,ignore,,,,
asci,,ignore,,,,
ascociada,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ascospores,,ignore,,,,
Ascospores,,ignore,,,,
Asia,,ignore,,,,
asoc. sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asoc. sp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Asociaco,,ignore,,,,
Asociada a,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociada a Nymphaea gracilis. Flor,,ignore,,,,
asociada a spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociada con,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociadas,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Asociadas,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociado,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Asociado,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociado a,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Asociado a,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociados,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociadp con,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociate include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociated plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Asociated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociates include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociating species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asociation,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asocidas,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asooc. plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asooc. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asoociates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asosiación de,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Aspen deciduous forest.  Associated species,,ignore,,,,
Aspen deciduous forest.  Associated species,,ignore,,,,
Aspen forest,,ignore,,,,
Aspen woodland,,ignore,,,,
Aspen woodland. Assoc. species,,ignore,,,,
Aspen woodlands.  Assoc. sp.,,ignore,,,,
Aspen woodlands.  Assoc. sp.,,ignore,,,,
Ass,,ignore,,,,
ass sp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass spp include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass spp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. cirsieto-molinietum accomp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. sp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. spec.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Ass. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. spp. inc.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. spp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. spp. incude,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
ass. ssp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assc pl,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assc plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assc sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assc. pl,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assc. plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assc. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assc. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assciated plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assciated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assciations,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assco,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asscociate trees,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asscociates include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asscoiated,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asscoiated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Asscoiated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asscoiated spp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assic species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assic species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assication,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assiciates include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assicuated plants included,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assn,,ignore,,,,
Assn,,ignore,,,,
asso,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asso.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asso. genera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asso. sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asso. sp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asso. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asso. spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asso.sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
asso.spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc genera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc genera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc genera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc Genera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc grasses,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc herbaceous spp inlcude,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc herbaceous spp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc sp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc sp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc spec,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc spp include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc spp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc ssp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc ssp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc trees,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc trees,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc veg,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc vegn,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. apecies,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. app,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. carices,,ignore,,,,
Assoc. carices,,ignore,,,,
assoc. dominants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. gener,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. gener,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. genera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. genera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. genera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. Genera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. gerera,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. grasses,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. herbaceous species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. herbaceous spp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. herbaceous spp. inlcude,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. herbs,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. included,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. lichens,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. pl.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. plant,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. plants include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. plants/veg. type,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. pls/notes,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. soecies,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. sp include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. sp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. sp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. sp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. sp. inc.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. sp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. sp. included,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. sp. on face,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spec,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spec.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. Species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. species are,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. species.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. speciesinclude,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. speices,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. spp include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. spp include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp. inc.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp. incl,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp. incl.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. spp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp. inlcude,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. spp. inlude,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. spp. on verticle rock face,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. sps,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. ssp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. ssp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. ssp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. ssp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. ssp. incl.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. taxa,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. taxa,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. Taxa,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. trees,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. trees,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. type,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. veg,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. veg.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. vege,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. vegetation,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. vegn,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. vegn.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. w/,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
assoc. with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
Assoc. with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
